"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Secret","Puppey","Shadow Shaman","261","0.54","8368","2971","1102","58","535","130","0","3206","0","120","0","0","0","0","175","0","100"
"Secret","MiSeRY","Slardar","221","0.46","7086","2237","366","678","360","0","0","3206","0","0","0","0","0","94","175","0","0"
"Secret","Eternal Envy","Anti Mage","468","0.98","15005","6384","1024","551","527","2765","223","3206","0","0","0","0","0","176","175","0","0"
"Secret","w33","Queen of Pain","332","0.69","10645","4119","1599","624","360","417","0","3206","0","0","0","0","0","166","175","0","0"
"Secret","PieLieDie","Tiny","221","0.46","7086","2460","0","697","360","221","0","3167","0","0","0","0","0","0","175","0","0"
"OG","Simbaaa","Dazzle","407","0.85","13049","2821","1723","1407","1720","0","291","3206","200","0","1635","0","0","58","0","0","0"
"OG","Cr1t","Winter Wyvern","429","0.89","13755","3528","1511","1796","1720","126","0","3206","200","34","1500","0","0","117","0","0","50"
"OG","Miracle 2","Invoker","587","1.22","18820","5147","4463","586","2508","110","0","3206","200","406","1641","0","0","577","0","0","0"
"OG","MoonMeander","Tusk","421","0.88","13498","2366","1910","1461","1720","983","0","3206","200","91","1500","0","0","100","0","0","0"
"OG","N0tail","Phantom Lancer","601","1.25","19269","6738","1441","775","2605","598","847","3206","464","515","1732","0","0","385","0","0","0"
