"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Secret","Puppey","Dazzle","257","0.53","8681","2292","332","1201","880","250","161","3378","0","0","0","0","0","66","0","0","150"
"Secret","MiSeRY","Slardar","224","0.46","7566","2351","0","726","880","38","0","3311","0","0","0","0","0","198","0","0","0"
"Secret","Eternal Envy","Juggernaut","445","0.92","15031","7022","163","734","1292","2386","0","3278","0","0","0","0","0","90","0","0","0"
"Secret","w33","Alchemist","582","1.20","19658","6014","1585","69","880","1578","35","3295","0","0","0","0","0","1420","0","4699","50"
"Secret","PieLieDie","Bane","215","0.44","7262","643","947","1299","880","76","0","3318","0","0","0","0","0","62","0","0","0"
"OG","Simbaaa","Lich","250","0.51","8444","369","605","823","1800","0","0","3378","400","0","1000","0","0","0","0","0","100"
"OG","Cr1t","Rubick","337","0.69","11383","1431","1970","859","1800","41","0","3378","730","0","1139","0","0","0","0","0","50"
"OG","Miracle 2","Shadow Fiend","692","1.42","23374","7656","3277","298","3074","1549","2088","3378","622","0","1132","0","0","352","0","0","0"
"OG","MoonMeander","Doom","452","0.93","15267","3143","1211","697","2019","1019","0","3378","400","0","1000","0","0","0","0","2425","0"
"OG","N0tail","Brewmaster","322","0.66","10876","1953","408","1269","1800","233","93","3378","400","0","1108","0","0","204","0","0","50"
