"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"CDEC","Q","Winter Wyvern","227","0.47","7864","2381","738","260","520","267","0","3464","0","150","0","0","0","0","0","0","100"
"CDEC","xZ","Broodmother","380","0.79","13165","4279","748","118","676","2810","1116","3464","0","0","0","0","0","0","0","0","0"
"CDEC","Garder","Tusk","231","0.48","8003","1555","712","963","520","728","0","3371","0","0","0","0","0","78","0","0","0"
"CDEC","ShiKi","Viper","406","0.84","14065","6347","858","536","673","395","320","3464","0","0","0","1330","0","170","0","0","0"
"CDEC","Agressif","Queen of Pain","388","0.81","13442","5874","1137","351","520","1542","220","3403","0","0","0","0","0","360","0","0","0"
"OG","Simbaaa","Undying","272","0.57","9423","839","1511","1288","1350","0","0","3464","400","21","500","0","0","0","0","0","50"
"OG","Cr1t","Io","241","0.50","8349","243","862","1337","1120","217","0","3464","400","156","500","0","0","86","0","0","0"
"OG","Miracle 2","Alchemist","619","1.29","21445","5476","216","890","1120","1344","0","3464","400","520","500","0","0","4280","0","3240","50"
"OG","MoonMeander","Earthshaker","320","0.67","11086","2552","656","948","1286","1132","0","3464","400","134","500","0","0","0","0","0","50"
"OG","N0tail","Tiny","768","1.60","26607","10238","4606","505","1826","1558","1277","3464","892","1489","758","0","0","0","0","0","50"
