"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EHOME","eLeVeN","Tusk","247","0.52","7688","1756","1599","203","320","665","0","3092","0","0","0","0","0","0","0","0","50"
"EHOME","LaNm","Treant Protector","178","0.37","5541","709","0","1149","320","146","0","3113","0","75","0","0","0","0","0","0","50"
"EHOME","Cty","Windranger","449","0.94","13976","7038","2004","436","320","666","0","3113","0","0","0","0","0","406","0","0","0"
"EHOME","kaka","Doom","321","0.68","9992","2007","262","353","320","1216","0","3113","0","0","0","950","0","0","0","1725","50"
"EHOME","old chicken","Viper","365","0.77","11361","5049","1023","967","320","364","221","3038","0","150","0","0","0","158","0","0","0"
"OG","Simbaaa","Undying","234","0.49","7284","481","537","1111","1320","0","0","3113","200","45","275","0","0","62","0","0","0"
"OG","Cr1t","Io","243","0.51","7564","253","978","1191","1200","66","0","3050","200","210","275","0","0","106","0","0","0"
"OG","Miracle 2","Alchemist","605","1.27","18832","4406","1646","704","1550","1803","0","3113","200","0","275","0","0","2530","0","2586","50"
"OG","MoonMeander","Earthshaker","351","0.74","10926","2826","1131","938","1320","983","0","3113","200","0","275","0","0","94","0","0","50"
"OG","N0tail","Tiny","697","1.47","21696","8884","3411","745","2341","1473","672","3113","468","100","403","0","0","99","0","0","0"
