"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"EHOME","eLeVeN","Tusk","228","0.47","8229","2817","337","939","320","158","0","3551","0","0","0","0","0","80","0","0","0"
"EHOME","LaNm","Earthshaker","203","0.42","7326","2769","450","80","320","88","0","3572","0","0","0","0","0","0","0","0","50"
"EHOME","Cty","Gyrocopter","487","1.00","17576","7640","1565","124","508","2124","1965","3511","0","0","0","0","40","0","0","0","50"
"EHOME","old chicken","Lina","367","0.75","13245","6027","880","846","506","697","0","3609","0","0","0","0","80","634","0","0","0"
"EHOME","kaka","Bounty Hunter","195","0.40","7038","1524","545","64","320","210","0","3591","0","0","0","0","600","94","0","0","100"
"OG","Simbaaa","Undying","244","0.50","8806","791","680","1279","1360","0","0","3609","400","0","500","0","0","174","0","0","50"
"OG","Cr1t","Winter Wyvern","284","0.58","10250","2134","282","1691","1360","55","0","3609","400","90","500","0","0","115","0","0","50"
"OG","Miracle 2","Viper","522","1.07","18840","7024","2606","906","2134","686","226","3609","750","200","500","0","0","100","0","0","150"
"OG","MoonMeander","Dark Seer","435","0.89","15700","4276","2103","1065","1360","2283","0","3609","400","0","631","0","0","0","0","0","0"
"OG","N0tail","Phantom Lancer","586","1.20","21149","6853","3434","952","1748","1646","1087","3609","614","29","629","0","0","598","0","0","0"
