"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"OG","Simbaaa","Winter Wyvern","301","0.56","15267","3590","362","2170","1560","298","0","5072","600","200","725","0","0","337","175","0","250"
"OG","Cr1t","Tusk","344","0.64","17448","3745","1047","2789","1742","241","0","5072","600","841","725","0","0","335","175","0","200"
"OG","Miracle 2","Razor","603","1.12","30585","11458","3379","1451","2631","2245","152","5072","797","1549","847","0","0","891","175","0","0"
"OG","MoonMeander","Earthshaker","456","0.85","23129","3520","4919","1787","1560","3623","0","5072","600","1100","725","0","0","131","175","0","0"
"OG","N0tail","Gyrocopter","642","1.19","32563","12391","2954","1025","1560","1683","3711","5072","1252","1307","846","0","0","572","175","0","100"
"EG","ppd","Ancient Apparition","209","0.39","10601","1788","1370","770","800","280","0","5072","0","0","0","0","0","0","175","0","50"
"EG","Sumail","Tinker","485","0.90","24600","11291","2096","376","800","4295","85","5018","0","90","0","0","0","54","175","0","0"
"EG","Universe","Beastmaster","267","0.50","13543","6177","0","527","800","259","0","5057","0","0","0","0","0","71","175","0","200"
"EG","Fear","Undying","213","0.40","10804","1326","2318","807","800","24","0","5029","0","0","0","0","0","0","175","0","0"
"EG","Arteezy","Sven","465","0.86","23585","12498","0","1092","1180","1939","1520","5022","0","0","0","0","0","185","175","0","0"
