"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"CDEC","Q","Silencer","148","0.29","6245","656","601","238","240","0","0","4219","0","0","0","0","0","208","0","0","100"
"CDEC","xZ","Tusk","244","0.48","10295","3749","777","629","240","710","0","4219","0","0","0","0","0","0","0","0","0"
"CDEC","Garder","Lion","179","0.35","7553","1625","275","1068","240","121","0","4219","0","0","0","0","0","0","0","0","50"
"CDEC","ShiKi","Alchemist","650","1.29","27426","8911","251","343","423","4166","446","4219","0","0","0","0","0","1795","0","6919","0"
"CDEC","Agressif","Doom","430","0.85","18143","5631","1283","394","240","707","0","4219","0","0","0","3040","0","0","0","2675","0"
"OG","Simbaaa","Dazzle","235","0.47","9916","1897","295","1588","1080","60","0","4219","600","44","0","0","0","0","0","0","150"
"OG","Cr1t","Bane","243","0.48","10253","2167","706","1271","1080","0","0","4219","600","32","0","0","0","190","0","0","0"
"OG","Miracle 2","Ember Spirit","484","0.96","20422","8343","1584","1239","1443","2001","376","4219","600","27","0","0","0","590","0","0","50"
"OG","MoonMeander","Slardar","291","0.58","12278","3257","562","898","1297","1051","60","4219","966","0","0","0","0","0","0","0","0"
"OG","N0tail","Meepo","773","1.53","32616","10902","3388","406","1517","7703","3015","4150","1102","120","0","0","0","332","0","0","0"
