"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"VP 2","Fng","Jakiro","284","0.55","12472","3234","1994","730","1749","81","0","4392","0","0","0","0","0","211","0","0","100"
"VP 2","Illidan","Gyrocopter","388","0.75","17040","5849","1527","1191","1220","1981","746","4392","0","0","0","0","0","126","0","0","50"
"VP 2","G","Lina","428","0.83","18796","8279","1415","578","1648","1639","42","4267","0","0","0","0","0","865","0","0","0"
"VP 2","dkphobos","Dark Seer","337","0.65","14800","5688","1199","1240","1220","1118","0","4392","0","0","0","0","0","0","0","0","0"
"VP 2","Lil","Tusk","233","0.45","10233","1075","899","2163","1424","252","0","4392","0","0","0","0","0","54","0","0","0"
"OG","Simbaaa","Dazzle","282","0.55","12385","2488","928","1233","1440","113","40","4392","600","0","1000","0","0","0","0","0","200"
"OG","Cr1t","Bane","253","0.49","11111","1141","897","1478","1440","0","0","4392","600","90","1000","0","0","0","0","0","100"
"OG","Miracle 2","Anti Mage","761","1.48","33421","12890","3807","444","2263","3969","2863","4392","1311","100","1226","0","0","222","0","0","0"
"OG","MoonMeander","Slardar","490","0.95","21519","3545","3381","1690","1900","1235","876","4392","600","0","1127","2470","0","338","0","0","0"
"OG","N0tail","Viper","458","0.89","20114","8281","1971","1374","1645","144","0","4392","600","330","1119","0","0","312","0","0","0"
