"Team","Player","Hero","GPM","Eff %","Tot. Gold","Creep","Kill","Assist","Tower","Neutral","Ancients","Default","Rosh","Summons","Rax","Midas","Track","Filler","Courier","Devour/Greed","Ward"
"Secret","Puppey","Bane","216","0.36","14065","1726","730","3372","1080","169","0","6415","280","0","0","0","0","170","0","0","50"
"Secret","MiSeRY","Slardar","256","0.43","16670","2923","259","3661","1292","478","476","6406","400","44","0","0","0","633","0","0","50"
"Secret","Eternal Envy","Slark","568","0.94","36987","17491","6595","2169","1666","1355","230","6348","614","27","0","0","0","364","0","0","0"
"Secret","w33","Queen of Pain","524","0.87","34122","12872","6913","2791","1462","1923","236","6266","731","20","0","0","0","611","0","0","100"
"Secret","PieLieDie","Rubick","280","0.46","18233","4004","1304","4266","1080","328","0","6444","400","0","0","0","0","240","0","0","150"
"OG","Simbaaa","Dazzle","252","0.42","16410","3208","1017","1572","2360","155","0","6407","600","0","1000","0","0","0","0","0","50"
"OG","Cr1t","Winter Wyvern","325","0.54","21163","5420","2764","2108","2360","238","0","6512","600","0","1000","0","0","0","0","0","200"
"OG","Miracle 2","Alchemist","669","1.11","43564","8431","3933","1532","2707","2291","1914","6345","1047","0","1102","0","0","8090","0","6090","0"
"OG","MoonMeander","Clockwerk","300","0.50","19535","2968","3163","1967","2360","786","0","6392","841","0","1000","0","0","0","0","0","0"
"OG","N0tail","Gyrocopter","554","0.92","36075","12139","4863","1897","3428","1735","3724","6472","600","0","1256","0","0","0","0","0","0"
